"folio","dif_inf","dif_url","portinte","edo_fina","pre_serv","pln_prog","in_efi","re_hid","di_tari","ben_subs","obr_proc","di_otro","d_otr_es","sif_opn","opn_impl","opn_bita","opn_moni","opn_apcu","opn_entr","opn_apen","opn_otrm","opin_esp","rep_quej","fuga_pro","atn_most","carc_liq","opn_otro","es_ot_as"
"14054","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14055","1","SAPASMAG.GOB.MX","1","1","1","1","1","","1","1","1","","","1","","","","1","","1","","","1","1","","1","",""
"14056","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14057","1","HTTPS://WWW.MANZANILLADELAPAZ.GOB.MX","2","","1","","","","","","","","","2","","","","","","","","","","","","","",""
"14058","1","","1","1","1","1","1","","1","","1","","","2","","","","","","","","","","","","","",""
"14059","1","WWW.SAPASMAZA.COM.MX","1","1","","1","","","1","","1","","","1","","1","1","","","","","","1","1","1","1","",""
"14060","2","","0","","","","","","","","","","","1","","1","","","","","","","1","1","1","","",""
"14061","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14062","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14063","1","","2","","","1","1","","","","","","","1","","","1","1","","1","","","1","","1","","",""
"14064","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14065","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14066","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14067","1","SEAPAL.GOB.MX","1","","1","1","","","","1","1","","","2","","","","","","","","","","","","","",""
"14068","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14069","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14070","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14071","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14072","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14073","2","","0","","","","","","","","","","","1","1","1","1","","","1","","","1","1","1","1","",""
"14074","1","HTTPS://SANJULIAN.GOB.MX/SAPAJ/","2","1","1","","","","","1","","","","2","","","","","","","","","","","","","",""
"14075","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14076","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14077","2","","0","","","","","","","","","","","1","1","","1","","","","","","1","","","","",""
"14078","1","HTTPS://SAPASMAJAL.GOB.MX/V2/","1","1","1","","","","1","","","","","1","1","1","","","1","","","","1","1","1","","",""
"14079","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14080","2","","0","","","","","","","","","","","1","","1","","","","","","","1","","","","",""
"14081","2","","0","","","","","","","","","","","1","","1","","","1","","","","1","","","","",""
"14082","1","FACEBOOK.COM/GOBIERNOMUNICIPALSAYULA/","2","","","","","","1","","1","","","1","","1","1","","","","","","1","1","1","","",""
"14083","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14084","1","HTTPS://WWW.FACEBOOK.COM/SIAPAS-TALPA-105474914235236/","1","","","","","","","1","1","","","2","","","","","","","","","","","","","",""
"14085","1","FACEBOOK/SIAPATAM.COM/","1","","","","","","","1","1","","","2","","","","","","","","","","","","","",""
"14086","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14087","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14088","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14089","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14090","2","","0","","","","","","","","","","","1","","","","1","","","","","1","1","1","","",""
"14091","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14092","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14093","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14094","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14095","1","FACEBOOK.COM/TEUCHITLANJALISCOMEXICO","2","","1","","","","","1","1","","","2","","","","","","","","","","","","","",""
"14096","0","","0","","","","","","","","","","","1","1","1","","","1","","","","1","1","1","","",""
"14097","1","https://tlajomulco.gob.mx/","2","","1","1","","","","","","","","1","","1","1","","","","","","1","1","1","","",""
"14098","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14099","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14100","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14101","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14102","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14103","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14104","1","AGUAPOTABLETOTATICHE.COM.MX","1","","","","","","","1","1","","","2","","","","","","","","","","","","","",""
"14105","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14106","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14107","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14108","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14109","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14110","1","OSIAPA.COM","1","","","","","","1","","","","","2","","","","","","","","","","","","","",""
"14111","1","VALLEDEGUADALUPE.GOB.MX","2","1","","1","","","1","","","","","2","","","","","","","","","","","","","",""
"14112","1","http://www.valledejuarezjalisco.gob.mx/","2","","","","","","","","1","","","1","1","","","","","","","","1","","","","",""
"14113","1","SANGABRIELJALISOC.GOB.MX","2","","1","","","","","","","","","2","","","","","","","","","","","","","",""
"14114","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14115","0","","2","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14116","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14117","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14118","1","","2","1","1","1","","","1","","","","","1","","1","1","","","","","","1","1","1","","",""
"14119","1","","2","","","","","","","1","1","","","2","","","","","","","","","","","","","",""
"14120","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14121","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14122","1","SRIAZAPOTITLAN@HOTMAIL.COM","2","","1","1","","","","","1","","","1","","1","1","","","","","","1","1","1","","",""
"14123","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"14124","2","","0","","","","","","","","","","","1","1","1","1","","","","","","1","1","1","","",""
"14125","2","","0","","","","","","","","","","","1","","","","1","1","","","","1","1","1","1","",""
"15001","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15002","1","ACOLMAN.GOB.MX","2","1","1","1","","","","","1","","","2","","","","","","","","","","","","","",""
"15003","1","HTTP://ACULCO.EDOMEX.GOB.MX/","2","1","","1","1","","","","","","","1","1","1","","","1","","","","1","1","1","","",""
"15004","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15005","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15006","1","ALMOLOYADELRIO.GOB.MX","2","","1","1","","","","","","","","2","","","","","","","","","","","","","",""
"15007","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15008","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15009","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15010","1","HHTT://WWW.FACEBOOK.COM/GOBIERNOAPAXCO","2","","","","","","","1","","","","1","","1","1","","","","","","1","1","1","","",""
"15011","1",".HAYUNTAMIENTOATENCO20192021","1","","1","","1","","1","1","1","","","1","","","1","","1","1","","","1","1","1","","",""
"15012","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15013","1","SAPASA.GOB.MX","1","","1","","","1","1","","","","","1","1","","","","","","","","","1","1","","",""
"15014","1","ODAPASA.GOB.MX","1","1","","1","1","","1","1","","","","1","1","1","1","","","","","","1","1","","","",""
"15015","2","","0","","","","","","","","","","","1","","","","","","","1","","1","","","","",""
"15016","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15017","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15018","2","","0","","","","","","","","","","","1","","1","1","1","1","","","","1","1","1","1","",""
"15019","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15020","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15021","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15022","1","HTTPS://CAEM.EDOMEX.GOB.MX/","1","","","","","1","","","","","","2","","","","","","","","","","","","","",""
"15023","0","","0","","","","","","","","","","","1","","","","","","","1","","","1","1","","",""
"15024","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15025","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15026","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15027","1","CHAPULTEPEC.GOB.MX","2","","","","","","","","1","","","2","","","","","","","","","","","","","",""
"15028","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15029","1","HTTPS://OPDAPASCHICOLOAPAN.AYUNTAMIENTODIGITAL.GOB.MX/","1","","1","1","","","1","","1","","","1","1","","1","","1","","","","1","1","1","","",""
"15030","2","","0","","","","","","","","","","","1","","","1","","","","","","1","1","","","",""
"15031","1","CHIMALHUACAN.GOB.MX","2","","1","","","","1","","1","","","1","1","1","1","","1","1","","","1","1","1","1","",""
"15032","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15033","1","HTTPS://WWW.FACEBOOK.COM/SAPASEECATEPEC","1","","1","1","","1","1","1","1","","","1","","","1","","","","","","1","1","","1","",""
"15034","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15035","2","","0","","","","","","","","","","","1","","","1","","","","1","","1","1","1","1","",""
"15036","1","HTTPS://WWWFACEBOOK.COM/GOBIERNO-MUNICIPAL-HUEYPOXTLA-2019-2021-1672312729702514/","2","","1","1","","","","","1","","","2","","","","","","","","","","","","","",""
"15037","1","","1","","1","","","","","1","1","","","1","","","1","","","","","","1","","","","",""
"15038","1","","2","","1","","","","","","1","","","1","","","","","","","1","","1","1","","","",""
"15039","1","OPDAPASIXTAPALUCA.GOB.MX","1","","1","1","","","1","1","1","","","1","","","1","","","","","","1","1","","1","",""
"15040","1","OPDAPAS-IXTAPAN.GOB.MX","1","1","","1","1","1","1","","","","","2","","","","","","","","","","","","","",""
"15041","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15042","0","FACEBOOK.COM/AYUNTAMIENTOIXTLAHUACA","2","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15043","2","","0","","","","","","","","","","","1","","1","","","","","","","1","","","","",""
"15044","1","HTTPS://M.FACEBOOK.COM/226563628229045","1","","","","","","1","1","1","","","2","","","","","","","","","","","","","",""
"15045","1","","2","1","1","","","","","","","","","2","","","","","","","","","","","","","",""
"15046","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15047","2","","0","","","","","","","","","","","1","1","","","","","","","","","1","","","",""
"15048","1","HTTP://JOCOTITLAN.GOB.MX/INDEX.PHP/CONAC-OPDAP/","2","1","","","1","","","","","","","1","1","1","","","1","","","","1","1","","1","",""
"15049","1","FACEBOOK.CM/PROFILE.PHP*ID=100035971189881","1","","1","","","","","","","","","1","","1","","","","","","","1","1","1","","",""
"15050","2","","0","","","","","","","","","","","1","","","1","","","","","","1","1","","","",""
"15051","1","","1","1","1","1","1","","","","1","","","1","1","","1","1","1","1","","","","","1","","",""
"15052","1","HTTPS://MALINALCO.GOB.MX","2","1","","","","","","","","","","2","","","","","","","","","","","","","",""
"15053","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15054","1","","1","","1","1","","","","1","1","","","1","","","","","","1","","","1","","","","",""
"15055","1","MEXICALTZINGO LIMPIO Y QUERIDO","1","","1","1","","","","","1","","","2","","","","","","","","","","","","","",""
"15056","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15057","1","","1","","1","1","1","","","1","","","","1","1","1","1","","","","","","1","1","1","1","",""
"15058","1","ODAPASNEZAHUALCOYOTL.GOB.MX         .FACEBOOK.COM/CULTURA.AGUA.NEZAHUALCOYOTL","1","","","","","","1","1","1","","","2","","","","","","","","","","","","","",""
"15059","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15060","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15061","1",".NOPALTEPEC.GOB.MX","2","","1","","","","","1","1","","","2","","","","","","","","","","","","","",""
"15062","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15063","1",".FACEBOOK.COM/SEARCH/TOP?Q=OPDAPAS%20OCUILAN%20OFICIAL","1","","","1","","","1","","","","","2","","","","","","","","","","","","","",""
"15064","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15065","1","AYUNTAMIENTOTUMBA.GOB.MX","2","","","1","","","","","1","","","2","","","","","","","","","","","","","",""
"15066","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15067","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15068","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15069","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15070","1","HTTP://WWW.LAPAZOPDAPAS.GOB.MX/                   HTTPS://WWW.FACEBOOK.COM/OPDAPASLAPAZOFICIAL","1","","1","1","","","1","1","","","","1","1","1","1","","","","","","1","1","1","1","",""
"15071","2","","0","","","","","","","","","","","1","","","","","1","","","","1","","1","","",""
"15072","2","","0","","","","","","","","","","","1","","","","","1","","","","","1","1","","",""
"15073","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15074","0","FACEBOOK.COM/AGUAPOTABLE,SANFELIPE,10/","2","","","","","","","","","","","1","","1","","","","","","","","","1","","",""
"15075","1","FACEBOOK H. AYUNTAMIENTO DE SAN MARTIN DE LAS PIRAMIDES""ESFUERZO Y RESULTADOS""","2","","1","1","","","","1","","","","2","","","","","","","","","","","","","",""
"15076","1","HTTPS://OPDAPASSMA.GOB.MX/","2","","1","1","","","1","","","","","1","1","","","","","","","","1","1","1","1","",""
"15077","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15078","1","SANTOTOMAS.GOB.MX","2","","","","","","","","1","","","2","","","","","","","","","","","","","",""
"15079","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15080","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15081","1","HTTPS://WWW.FACEBOOK.COM/ODAPAS-TEC%C3%A1MAC-2019-2021-389459708263344","1","","1","1","","","","1","1","","","1","","","1","","1","","","","1","1","","","",""
"15082","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15083","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15084","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15085","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15086","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15087","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15088","1","IPOMEX.ORG.MX/IPO3/LGT/INDICE/OASTENANCINGO.WEB","2","1","","1","1","","","","","","","1","1","","","1","","","","","1","","","","",""
"15089","1","FACEBOOK,ODAPAS TENANGO","1","","","","1","1","","","","","","2","","","","","","","","","","","","","",""
"15090","1","HTTPS://WWW.TENANGODELVALLE.GOB.MX","2","1","","1","1","","","","","","","2","","","","","","","","","","","","","",""
"15091","1","","2","","1","1","1","","","","1","","","1","","1","","","","","","","1","1","1","","",""
"15092","1","HTTPS://WWW.FACEBOOK.COM/ODEAPAST-TEOTIHUAC%C3%A1N-261223788120998/","1","","","1","","","","1","1","","","2","","","","","","","","","","","","","",""
"15093","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15094","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15095","1","HTTP://TEPOTZOTLAN.GOB.MX","2","","","","","","","","1","","","1","","1","","","","","","","","1","","","",""
"15096","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15097","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15098","2","","0","","","","","","","","","","","1","1","","","","","","","","1","1","","1","",""
"15099","1","","2","","","1","","","","1","1","","","2","","","","","","","","","","","","","",""
"15100","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15101","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15102","2","","0","","","","","","","","","","","1","","","","1","","","","","1","1","","1","",""
"15103","1","TLALMANALCO.GOB.MX/","2","","","1","","","","1","","","","2","","","","","","","","","","","","","",""
"15104","1","","1","1","","1","1","","","","","","","2","","","","","","","","","","","","","",""
"15105","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15106","1","","1","","1","","","","","1","1","","","1","","","1","","","","","","1","1","","","",""
"15107","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15108","1","HTTP://TULTEPEC.GOB.MX/","2","","1","","","","1","","","","","2","","","","","","","","","","","","","",""
"15109","1","HTTPS://WWW.APAST.GOB.MX/","1","1","","1","1","","","","1","","","2","","","","","","","","","","","","","",""
"15110","1","OPDAPAS.GOB.MX","1","","1","","","","","","1","","","1","1","","1","","1","","","","","1","1","","",""
"15111","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15112","1","HTTP://WWW.VILLADELCARBON.GOB.MX/","2","","","","","","","","1","","","1","","1","","","","","","","1","1","","","",""
"15113","1","","2","1","1","1","1","1","1","1","1","","","1","1","","","","","","","","","1","1","","",""
"15114","2","","0","","","","","","","","","","","1","","","","1","1","","","","1","1","1","1","",""
"15115","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15116","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15117","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15118","1","","1","","","1","1","","1","1","1","","","2","","","","","","","","","","","","","",""
"15119","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15120","1","","1","1","1","1","1","1","1","","1","","","1","1","","1","1","","1","","","1","1","1","","",""
"15121","1","OPERAGUACI.GOB.MX/","1","1","1","1","","1","","1","1","","","1","1","","1","","","","1","","1","1","","","",""
"15122","1","ODAPAS-VALLEDECHALCO.GOB.MX","1","1","1","1","","","","","1","","","1","","","1","","","","","","1","1","1","","",""
"15123","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15124","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"15125","1","TONANITLA.GOB.MX","2","","","","","","1","","","","","2","","","","","","","","","","","","","",""
"16001","1","HTTPS://CAPAACUITZIO.GOB.MX/","1","1","","1","1","","1","","","","","2","","","","","","","","","","","","","",""
"16002","2","","0","","","","","","","","","","","1","","1","","","1","","","","1","","1","","",""
"16003","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16004","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16005","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16006","2","","0","","","","","","","","","","","1","1","1","","","","","","","1","1","1","","",""
"16007","1","APORO.GOB.MX","2","1","","","","","","","","","","1","","","","","1","","","","1","","","","",""
"16008","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16009","2","","0","","","","","","","","","","","1","1","","","","","","","","1","","1","","",""
"16010","2","","0","","","","","","","","","","","1","1","","","","","","","","1","","1","1","",""
"16011","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16012","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16013","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16014","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16015","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16016","2","","0","","","","","","","","","","","1","","","1","","","","","","","1","","","",""
"16017","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16018","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16019","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16020","2","","0","","","","","","","","","","","1","1","1","","","","","","","1","1","1","","",""
"16021","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16022","2","","0","","","","","","","","","","","1","","1","","","","","","","1","1","1","","",""
"16023","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16024","2","","0","","","","","","","","","","","1","","","","1","","","","","1","1","","","",""
"16025","1","HTTPS://WWW.FACEBOOK.COM/AYUNTAMIENTOCHILCHOTA","1","1","1","1","","","1","","","","","1","1","","1","","","","","","1","1","1","1","",""
"16026","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16027","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16028","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16029","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16030","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16031","1","HTTPS://EPITACIO-HUERTA.GOB.MX/SEVAC6","2","1","","1","1","","1","","","","","2","","","","","","","","","","","","","",""
"16032","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16033","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16034","2","","0","","","","","","","","","","","1","","1","1","","","","","","1","1","1","1","",""
"16035","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16036","1","FACEBOOK.COM/ECAHUANDACAREO","1","","1","","","1","","","1","","","1","","","1","","","","","","1","1","1","1","",""
"16037","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16038","1","SAPAHU.HUETAMO.COM.MX","1","","1","","","1","1","","1","","","2","","","","","","","","","","","","","",""
"16039","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16040","2","","0","","","","","","","","","","","1","","","","1","","","","","1","1","","","",""
"16041","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16042","2","","0","","","","","","","","","","","1","","","","","1","","","","1","1","","","",""
"16043","1","HTTPS://SAPAJ.GOB.MX","1","1","1","1","","1","1","","","","","1","1","1","1","","","","","","1","1","1","1","",""
"16044","2","","0","","","","","","","","","","","1","","1","","","1","","","","1","1","1","1","",""
"16045","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16046","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16047","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16048","2","","0","","","","","","","","","","","1","","","","","1","","","","1","","","","",""
"16049","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16050","1","HTTPS://COMAPAM.MX   Y    HTTPS://WWW.FACEBOOK.COM/COMAPAM.COMAPAM","1","1","1","","","","","","1","","","1","1","","1","","","","","","","1","1","","",""
"16051","2","","0","","","","","","","","","","","1","","1","","","","","","","1","1","1","","",""
"16052","1","FACEBOOK.COM/CAPALACLAZAROCARDENAS","2","","1","1","","1","1","","1","","","1","1","","1","","","","","","1","1","","","",""
"16053","1","HTTP://OOAPAS.GOB.MX","1","1","1","1","1","","1","","","","","1","1","1","","","","","","","1","1","1","","",""
"16054","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16055","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16056","2","","0","","","","","","","","","","","1","","","","","1","","","","1","1","","","",""
"16057","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16058","1","HTTPS://WWW.FACEBOOK.COM/CAPA.NUEVOPARANGARICUTIRO","1","","1","","","","1","","1","","","2","","","","","","","","","","","","","",""
"16059","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16060","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16061","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16062","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16063","1","WWW.PANINDICUARO.GOB.MX","2","1","","1","1","","1","1","","","","2","","","","","","","","","","","","","",""
"16064","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16065","1","","2","","","1","","1","","1","1","","","2","","","","","","","","","","","","","",""
"16066","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16067","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16068","1","PERIBAN.GOB.MX/TRANSPARENCIA2016/","2","1","","","","","1","","","","","1","","","","1","","","","","1","","","","",""
"16069","1","SAPASLAPIEDAD.GOB.MX","1","1","1","1","1","1","1","","1","","","1","1","","1","","","","","","1","1","1","","",""
"16070","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16071","1","FACEBOOK.COM/AYUNTAMIENTO-DE-PURU%C3%A1NDIRO-2018-2021-1892700024370382","2","","","1","","","1","","1","","","2","","","","","","","","","","","","","",""
"16072","2","","0","","","","","","","","","","","1","","1","","","","","","","1","1","","1","",""
"16073","1","HTTP://TRANSPARENCIA.QUIROGA.GOB.MX/OOAPASQ/","2","1","","","","","1","1","1","","","2","","","","","","","","","","","","","",""
"16074","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16075","1","SAPAD.GOB.MX","1","1","","1","","","","","","","","2","","","","","","","","","","","","","",""
"16076","1","SAHUAYOMICH.GOB.MX","2","","","1","","","","","","","","2","","","","","","","","","","","","","",""
"16077","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16078","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16079","2","","0","","","","","","","","","","","1","","","","1","","","","","","1","1","","",""
"16080","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16081","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16082","1","HTTP://TACAMBARO.GOB.MX/?PAGE_ID=632","2","1","","","","","1","","","","","2","","","","","","","","","","","","","",""
"16083","1","OOAPASTANCITARO.GOB.MX","1","1","1","1","1","","1","","1","","","1","","","1","","1","","","","1","1","1","1","",""
"16084","2","","0","","","","","","","","","","","1","1","","","","","","","","1","1","1","","",""
"16085","1","","1","","1","","","","1","","1","","","2","","","","","","","","","","","","","",""
"16086","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16087","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16088","1","","2","1","1","1","","1","1","1","1","","","1","","1","1","","","","","","1","1","1","1","",""
"16089","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16090","2","","0","","","","","","","","","","","1","1","","","","","","","","1","1","","","",""
"16091","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16092","1","TIQUICHEO.GOB.MX","2","","1","","","","","","","","","2","","","","","","","","","","","","","",""
"16093","1","WWW.TLALPUJAHUA.GOB.MX","2","1","","","","","1","1","1","","","2","","","","","","","","","","","","","",""
"16094","2","","0","","","","","","","","","","","1","","","1","1","","","","","","1","1","","",""
"16095","1","TOCUMBO.GOB.MX","2","","1","1","","1","","","","","","1","","1","1","","1","","","","1","1","1","1","",""
"16096","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16097","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16098","0","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16099","2","","0","","","","","","","","","","","2","","","","","","","","","","","","","",""
"16100","2","","0","","","","","","","","","","","1","","1","","","","","","","","1","","","",""
"16101","1","HTTP://HAYUNTAMIENTOTZITZIOMICH.GOB.MX/GOBIERNO/INFORMES/INDEX.HTML","2","1","1","","","","1","1","","","","2","","","","","","","","","","","","","",""
"16102","1","HTTPS://WWW.CAPASU.GOB.MX","1","1","1","1","1","","1","1","1","","","2","","","","","","","","","","","","","",""
